,open,high,low,close,volume,moving_avg_5,moving_avg_10,volatility
2025-01-15 19:05:00,238.4495,238.48,238.31,238.47,1731,238.3834,238.37754,0.0004294622486057527
2025-01-15 19:10:00,238.47,238.48,238.37,238.47,1451,238.38600000000002,238.39454,0.00042873357609182316
2025-01-15 19:15:00,238.445,238.48,238.41,238.44,656,238.40699999999998,238.40370000000001,0.00033581123139039425
2025-01-15 19:20:00,238.44,238.47,238.41,238.445,1178,238.427,238.41619999999998,0.00033666293421274584
2025-01-15 19:25:00,238.46,238.7,238.42,238.42,4820,238.44899999999998,238.41320000000002,0.0003299214463940084
2025-01-15 19:30:00,238.64,238.78,238.44,238.6,6351,238.475,238.42919999999998,0.0003666639916161391
2025-01-15 19:35:00,238.58,238.71,238.44,238.4547,1095,238.47194,238.42897000000002,0.0004917496442761059
2025-01-15 19:40:00,238.545,238.64,238.44,238.51,1081,238.48593999999997,238.44647,0.0004971786819367854
2025-01-15 19:45:00,238.51,238.58,238.3,238.46,3742,238.48894,238.45797,0.0005120400876336895
2025-01-15 19:50:00,238.41,238.69,238.32,238.52,7472,238.50894,238.47896999999998,0.0005163817425320032
2025-01-15 19:55:00,238.6,238.6,238.45,238.5,2099,238.48894,238.48197,0.00035489875202968476
